Soru,Cevap,Etiket
Lozan Antlaşması Türkiye'nin tapusu mudur?,Hayır,-1
Sivas Kongresi 1919 yılında mı yapılmıştır?,Evet,1
Sivas Kongresi 1919 yılında mı yapılmıştır?,Hayır,-1
Erzurum Kongresi milli mücadele için mi toplanmıştır?,Evet,1
Erzurum Kongresi milli mücadele için mi toplanmıştır?,Hayır,-1
TBMM 23 Nisan 1920'de mi açılmıştır?,Evet,1
TBMM 23 Nisan 1920'de mi açılmıştır?,Hayır,-1
Soyadı Kanunu 1934 yılında mı kabul edilmiştir?,Evet,1
Soyadı Kanunu 1934 yılında mı kabul edilmiştir?,Hayır,-1
Ay Dünya'nın uydusu mudur?,Evet,1
Ay Dünya'nın uydusu mudur?,Hayır,-1
Dünya Güneş etrafında mı döner?,Evet,1
Dünya Güneş etrafında mı döner?,Hayır,-1
Bir yıl 365 gün 6 saat midir?,Evet,1
Bir yıl 365 gün 6 saat midir?,Hayır,-1
Su 100 derecede mi kaynar?,Evet,1
Su 100 derecede mi kaynar?,Hayır,-1
İnsan vücudunun en büyük organı deri midir?,Evet,1
İnsan vücudunun en büyük organı deri midir?,Hayır,-1
Güneş bir yıldız mıdır?,Evet,1
Güneş bir yıldız mıdır?,Hayır,-1
Japonya Asya kıtasında mıdır?,Evet,1
Japonya Asya kıtasında mıdır?,Hayır,-1
Fransa'nın başkenti Paris midir?,Evet,1
Fransa'nın başkenti Paris midir?,Hayır,-1
İtalya'nın başkenti Roma mıdır?,Evet,1
İtalya'nın başkenti Roma mıdır?,Hayır,-1
Mona Lisa tablosu Louvre Müzesi'nde midir?,Evet,1
Mona Lisa tablosu Louvre Müzesi'nde midir?,Hayır,-1
